Make,Model,Body Type,Year,Engine Type,Engine Size,Transmission,Drive Type,Mileage,Condition,Gas Equipment,Steering Wheel,Cleared Customs,Color,Wheel Size,Headlights,Interior Color,Interior Material,Sunroof,Comfort,y
Mitsubishi,Pajero,Wagon,2008,Gasoline,3.0 L,Automatic,All Wheel Drive,"207,000 km",Car is not damaged,Installed,Left,Yes,Silver,R16,Halogen Headlights,Black,Leather,No,Air conditioner,"$14,000"
Kia,Rio,Wagon,2018,Gasoline,1.4 L,Automatic,Front Wheel Drive,"135,000 km",Car is not damaged,,Left,Yes,Blue,R15,Хenon Headlights,Black,Velour,Regular Sunroof,,"$15,000"
Mercedes-Benz,GLE-Class,SUV / Crossover,2017,Gasoline,3.5 L,Automatic,All Wheel Drive,"81,000 km",Car is not damaged,,Left,Yes,White,R21,LED Headlights,Black,Leather,Regular Sunroof,,"$45,500"
GAZ (ГАЗ),24 Volga,Sedan,1977,Gasoline,2.1 L,Manual,Rear Wheel Drive,"180,000 km",Car is not damaged,Installed,Left,Yes,Gray,R15,LED Headlights,Gray,Other,No,"Air conditioner, tinted windows","900,000 ֏"
Mercedes-Benz,E-Class,Sedan,2007,Gasoline,3.5 L,Automatic,Rear Wheel Drive,"250,000 km",Car is not damaged,,Left,Yes,Black,R18,Halogen Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$11,000"
Toyota,RAV4,SUV / Crossover,2021,Gasoline,2.5 L,Automatic,All Wheel Drive,2900 km,Car is not damaged,,Left,Yes,Gray,R19,LED Headlights,Black,Textile,No,,"$37,000"
Ford,Transit Connect,Van,2020,Gasoline,2.0 L,Automatic,Front Wheel Drive,"16,500 km",Car is damaged,,Left,Yes,White,R16,Halogen Headlights,Black,Leather,No,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control","$21,000"
VAZ (Lada),2121 (4x4),SUV / Crossover,2006,Gasoline,1.7 L,Manual,All Wheel Drive,"20,000 km",Car is not damaged,Installed,Left,Yes,White,R16,LED Headlights,Black,Alcantara,No,Tinted windows,"$5,000"
Toyota,Vitz,Hatchback,2005,Gasoline,1.3 L,Automatic,Front Wheel Drive,"180,000 km",Car is not damaged,Installed,Right,Yes,Black,R14,LED Headlights,Black,Textile,No,"Air conditioner, tinted windows","$5,000"
Volkswagen,Golf,Hatchback,1992,Gasoline,1.4 L,Manual,Front Wheel Drive,5255 km,Car is not damaged,Installed,Left,Yes,Blue,R14,Halogen Headlights,Blue,Textile,No,Air conditioner,"800,000 ֏"
Hyundai,Sonata,Sedan,2017,Gasoline,2.4 L,Automatic,Front Wheel Drive,"25,000 miles",Car is not damaged,,Left,No,Red,R16,Хenon Headlights,White,Textile,No,"Air conditioner, heated seats, cruise control, tinted windows","$17,300"
Nissan,Pathfinder,SUV / Crossover,2002,Gasoline,3.5 L,Automatic,All Wheel Drive,"100,000 km",Car is not damaged,Installed,Left,Yes,Black,R17,Halogen Headlights,Black,Leather,Regular Sunroof,Heated seats,"$8,000"
Mercedes-Benz,C-Class,Sedan,2001,Gasoline,2.6 L,Automatic,Rear Wheel Drive,"245,000 km",Car is not damaged,Installed,Left,Yes,Silver,R16,Хenon Headlights,Black,Leather,Panoramic Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$6,500"
Mazda,CX-9,SUV / Crossover,2021,Gasoline,2.5 L,Automatic,All Wheel Drive,"19,000 miles",Car is damaged,,Left,Yes,Blue,R18,Хenon Headlights,Black,Textile,No,,"$26,500"
Ford,Fiesta,Sedan,2018,Gasoline,1.6 L,Automatic,Front Wheel Drive,"99,000 miles",Car is not damaged,Installed,Left,Yes,Silver,R15,Halogen Headlights,Gray,Textile,No,"Air conditioner, tinted windows","$8,500"
Toyota,Land Cruiser,SUV / Crossover,2003,Gasoline,4.5 L,Automatic,All Wheel Drive,"250,000 km",Car is not damaged,,Left,Yes,Black,R17,Halogen Headlights,Beige,Textile,No,"Air conditioner, heated seats, cruise control","$22,000"
Dacia,Logan,Sedan,2008,Gasoline,1.4 L,Manual,Front Wheel Drive,"50,000 km",Car is not damaged,Installed,Left,Yes,Yellow,R15,Halogen Headlights,Black,Other,No,Tinted windows,"$2,500"
VAZ (Lada),2107,Sedan,2011,Gasoline,1.6 L,Manual,Rear Wheel Drive,"35,000 km",Car is not damaged,Installed,Left,Yes,Gray,R13,Хenon Headlights,Gray,Textile,No,,"$3,800"
Nissan,Note,Hatchback,2006,Gasoline,1.5 L,Automatic,Front Wheel Drive,"210,000 km",Car is not damaged,,Right,Yes,Red,R14,Halogen Headlights,Black,Textile,No,,"2,100,000 ֏"
VAZ (Lada),2121 Niva,SUV / Crossover,1989,Gasoline,1.6 L,Manual,All Wheel Drive,"71,000 km",Car is not damaged,,Left,Yes,White,R16,Halogen Headlights,Gray,Textile,No,Tinted windows,"$4,300"
Mazda,3,Sedan,2021,Gasoline,2.5 L,Automatic,Front Wheel Drive,"14,999 km",Car is not damaged,,Left,Yes,Red,R18,Хenon Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$22,000"
Chevrolet,Volt,Hatchback,2013,Hybrid,1.4 L,Automatic,Front Wheel Drive,"180,000 km",Car is not damaged,,Left,Yes,Cyan,R17,Хenon Headlights,Black,Leather,No,"Air conditioner, heated seats, cruise control, tinted windows","$9,400"
Kia,Sportage,SUV / Crossover,2018,Gasoline,2.4 L,Automatic,Front Wheel Drive,"62,000 miles",Car is not damaged,,Left,Yes,Gray,R17,LED Headlights,Black,Textile,No,"Air conditioner, cruise control, tinted windows","$18,800"
BMW,X5,SUV / Crossover,2003,Gasoline,3.0 L,Automatic,Rear Wheel Drive,"170,000 km",Car is not damaged,,Left,Yes,Black,R18,Halogen Headlights,Beige,Leather,No,"Air conditioner, heated seats, heated steering wheel","$8,000"
VAZ (Lada),2106,Sedan,1989,Gasoline,1.6 L,Manual,Rear Wheel Drive,"70,000 km",Car is not damaged,Installed,Left,Yes,Black,R13,LED Headlights,Black,Leather,No,"Air conditioner, heated seats, tinted windows","1,100,000 ֏"
Foton,Saga,Van,2011,Diesel,2.7 L,Manual,Rear Wheel Drive,"190,000 km",Car is not damaged,,Left,Yes,White,R16,Halogen Headlights,Black,Other,No,,
Mercedes-Benz,S-Class,Sedan,2011,Gasoline,5.5 L,Automatic,Rear Wheel Drive,"138,000 km",Car is not damaged,,Left,Yes,Silver,R19,Хenon Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$22,500"
VAZ (Lada),2107,Sedan,2008,Gasoline,1.5 L,Manual,Rear Wheel Drive,"150,000 km",Car is not damaged,Installed,Left,Yes,White,R13,LED Headlights,Brown,Textile,No,Tinted windows,"850,000 ֏"
Chevrolet,Equinox,SUV / Crossover,2018,Gasoline,1.5 L,Automatic,All Wheel Drive,"107,000 km",Car is not damaged,,Left,Yes,Silver,R17,Хenon Headlights,Other,Textile,Panoramic Sunroof,"Air conditioner, heated seats, cruise control, tinted windows","$18,800"
Hyundai,Elantra,Sedan,2017,Gasoline,2.0 L,Automatic,Front Wheel Drive,"99,500 miles",Car is not damaged,Installed,Left,Yes,Red,R17,LED Headlights,Beige,Leather,No,"Air conditioner, heated seats, cruise control, tinted windows","$14,500"
BMW,X5,SUV / Crossover,2018,Hybrid,2.0 L,Automatic,All Wheel Drive,"40,000 miles",Car is not damaged,,Left,Yes,Gray,R20,LED Headlights,Black,Leather,Panoramic Sunroof,"Air conditioner, heated seats, heated steering wheel, cruise control, tinted windows","$48,000"
Mercedes-Benz,Citan,Van,2018,Diesel,1.5 L,Manual,Front Wheel Drive,"210,000 km",Car is not damaged,,Left,No,White,R16,Halogen Headlights,Black,Textile,No,"Air conditioner, ventilated seats, cruise control","$14,000"
ErAZ,3730,Van,1995,Gasoline,2.5 L,Manual,Rear Wheel Drive,"300,000 km",Car is not damaged,Installed,Left,Yes,Green,R15,Halogen Headlights,Black,Other,Regular Sunroof,,"580,000 ֏"
Mercedes-Benz,A-Class,Sedan,2019,Gasoline,2.0 L,Automatic,Front Wheel Drive,"28,000 km",Car is not damaged,,Left,Yes,Gray,R18,Хenon Headlights,Black,Leather,Panoramic Sunroof,,"$35,000"
Nissan,Rogue,SUV / Crossover,2019,Gasoline,2.5 L,Automatic,Front Wheel Drive,"62,000 miles",Car is not damaged,,Left,Yes,White,R17,Хenon Headlights,Black,Other,No,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$20,100"
Kia,Optima,Sedan,2012,Gasoline,2.0 L,Automatic,Front Wheel Drive,"96,000 miles",Car is not damaged,,Left,Yes,White,R17,Halogen Headlights,Black,Leather,Panoramic Sunroof,"Air conditioner, heated seats, ventilated seats, cruise control","$10,500"
Opel,Astra,Sedan,1998,Gasoline,1.6 L,Manual,Front Wheel Drive,"300,000 km",Car is not damaged,Installed,Left,Yes,Blue,R15,LED Headlights,Blue,Other,No,,"$6,000"
Mazda,3,Sedan,2020,Gasoline,2.0 L,Automatic,Front Wheel Drive,"38,000 km",Car is damaged,,Left,Yes,Black,R17,Хenon Headlights,Black,Textile,No,"Air conditioner, cruise control, tinted windows","$18,000"
Ford,Transit,Van,2000,Diesel,2.4 L,Manual,Rear Wheel Drive,"165,500 km",Car is not damaged,,Left,No,White,R16,Halogen Headlights,Gray,Textile,No,,"$13,700"
Mercedes-Benz,E-Class,Sedan,2000,Gasoline,2.8 L,Automatic,Rear Wheel Drive,"250,000 km",Car is not damaged,Installed,Left,Yes,Blue,R17,Хenon Headlights,Black,Textile,No,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control","$8,000"
Jeep,Liberty (Patriot),SUV / Crossover,2016,Gasoline,2.4 L,Manual,Rear Wheel Drive,"94,000 miles",Car is not damaged,Installed,Left,Yes,Maroon,R16,LED Headlights,Black,Textile,No,"Air conditioner, cruise control, tinted windows","$11,000"
Mercedes-Benz,Vito,Minivan,1999,Gasoline,2.3 L,Automatic,Front Wheel Drive,"300,000 km",Car is not damaged,Installed,Right,Yes,Gray,R16,Хenon Headlights,Beige,Other,No,"Air conditioner, tinted windows","$6,800"
Volkswagen,Jetta,Sedan,2019,Gasoline,1.4 L,Automatic,Front Wheel Drive,"19,000 miles",Car is not damaged,,Left,Yes,Black,R16,LED Headlights,Black,Leather,Panoramic Sunroof,,"$22,000"
Kia,Forte,Sedan,2020,Gasoline,2.0 L,Automatic,Front Wheel Drive,"41,000 km",Car is not damaged,,Left,Yes,Gray,R17,Хenon Headlights,Black,Leather,No,"Air conditioner, cruise control, tinted windows","$22,500"
VAZ (Lada),2107,Sedan,2008,Gasoline,1.7 L,Manual,Rear Wheel Drive,"30,000 km",Car is not damaged,Installed,Left,Yes,White,R14,LED Headlights,Black,Other,No,Tinted windows,"$4,500"
Lexus,RX,SUV / Crossover,2021,Gasoline,3.5 L,Automatic,Front Wheel Drive,5000 km,Car is not damaged,,Left,Yes,Green,R20,Хenon Headlights,Brown,Leather,Regular Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$65,000"
Toyota,Camry,Sedan,2021,Gasoline,2.5 L,Automatic,Front Wheel Drive,"32,000 km",Car is not damaged,,Left,No,Black,R18,LED Headlights,Black,Leather,No,"Air conditioner, heated seats, heated steering wheel, cruise control, tinted windows","$29,000"
Ford,Fiesta,Hatchback,2001,Gasoline,1.2 L,Manual,Front Wheel Drive,"233,000 km",Car is not damaged,Installed,Left,Yes,Maroon,R14,Хenon Headlights,Black,Other,No,Air conditioner,"$1,750"
BMW,X5,SUV / Crossover,2008,Gasoline,4.8 L,Automatic,All Wheel Drive,"240,000 km",Car is not damaged,Installed,Left,Yes,Black,R20,Хenon Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, heated steering wheel, cruise control, tinted windows","$15,000"
Renault,Logan,Sedan,2015,Gasoline,1.6 L,Manual,Front Wheel Drive,"460,000 km",Car is damaged,Installed,Left,Yes,White,R15,Halogen Headlights,Gray,Textile,No,,"1,100,000 ֏"
Ford,Fusion (North America),Sedan,2017,Gasoline,1.5 L,Automatic,Front Wheel Drive,"56,000 miles",Car is not damaged,,Left,Yes,Gray,R17,LED Headlights,Black,Textile,No,"Air conditioner, cruise control","$13,000"
Kia,Sportage,SUV / Crossover,2016,Gasoline,2.4 L,Automatic,All Wheel Drive,"112,000 km",Car is not damaged,,Left,Yes,White,R19,Хenon Headlights,Black,Textile,No,"Air conditioner, cruise control, tinted windows","$20,500"
Ford,Fusion (North America),Sedan,2014,Gasoline,2.5 L,Automatic,Front Wheel Drive,"203,000 km",Car is not damaged,,Left,Yes,Silver,R17,Хenon Headlights,Black,Textile,No,"Air conditioner, heated seats, cruise control","$10,000"
Mercedes-Benz,C-Class,Sedan,2000,Gasoline,2.4 L,Automatic,Rear Wheel Drive,"300,000 km",Car is not damaged,Installed,Left,Yes,Black,R17,Хenon Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$6,200"
Toyota,Camry,Sedan,2019,Gasoline,2.5 L,Automatic,Front Wheel Drive,"50,000 miles",Car is not damaged,,Left,Yes,Black,R19,LED Headlights,Black,Leather,Panoramic Sunroof,"Air conditioner, heated seats, ventilated seats, cruise control, tinted windows","$26,500"
Mercedes-Benz,C-Class,Sedan,2002,Gasoline,1.8 L,Automatic,Rear Wheel Drive,"32,000 km",Car is not damaged,Installed,Left,Yes,Silver,R16,Хenon Headlights,Black,Textile,No,,"$6,900"
Lincoln,Aviator,SUV / Crossover,2020,Gasoline,3.0 L,Automatic,All Wheel Drive,"58,000 km",Car is not damaged,,Left,Yes,White,R22,LED Headlights,Other,Leather,Panoramic Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$86,000"
Toyota,Camry,Sedan,2018,Gasoline,2.5 L,Automatic,Front Wheel Drive,"90,000 km",Car is not damaged,,Left,Yes,White,R19,Хenon Headlights,Red,Leather,Panoramic Sunroof,"Air conditioner, heated seats, ventilated seats, cruise control, tinted windows","$30,000"
BYD,F3,Sedan,2012,Gasoline,1.5 L,Manual,Front Wheel Drive,"426,000 km",Car is not damaged,Installed,Left,Yes,White,R15,LED Headlights,Beige,Leather,No,,"$2,000"
Land Rover,Range Rover Velar,SUV / Crossover,2021,Gasoline,2.0 L,Automatic,All Wheel Drive,6000 miles,Car is not damaged,,Left,Yes,Black,R20,LED Headlights,Black,Leather,Panoramic Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$57,000"
Kia,Forte,Sedan,2015,Gasoline,1.8 L,Automatic,Front Wheel Drive,"82,000 miles",Car is not damaged,Installed,Left,Yes,Gray,R15,LED Headlights,Black,Leather,No,"Air conditioner, cruise control, tinted windows","$12,000"
Honda,Pilot,SUV / Crossover,2020,Gasoline,3.5 L,Automatic,All Wheel Drive,7000 km,Car is not damaged,,Left,Yes,White,R20,LED Headlights,Black,Leather,Panoramic Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$49,500"
Kia,Forte,Sedan,2017,Gasoline,2.0 L,Automatic,Front Wheel Drive,"77,000 miles",Car is not damaged,,Left,Yes,Silver,R16,Halogen Headlights,Gray,Textile,No,Air conditioner,"$15,500"
Toyota,RAV4,SUV / Crossover,2019,Gasoline,2.5 L,Automatic,All Wheel Drive,"79,000 km",Car is not damaged,,Left,Yes,Gray,R18,Хenon Headlights,Black,Textile,No,"Air conditioner, cruise control, tinted windows","$30,000"
Mazda,CX-5,SUV / Crossover,2015,Gasoline,2.5 L,Automatic,All Wheel Drive,"112,000 km",Car is not damaged,,Left,Yes,Red,R16,Хenon Headlights,Black,Textile,No,Air conditioner,"$17,500"
Nissan,Note,Hatchback,2009,Gasoline,1.5 L,Automatic,Front Wheel Drive,"120,000 km",Car is not damaged,Installed,Left,Yes,Silver,R14,Halogen Headlights,Black,Textile,No,"Air conditioner, ventilated seats, tinted windows","$6,800"
VAZ (Lada),Niva,SUV / Crossover,2023,Gasoline,1.7 L,Manual,All Wheel Drive,4500 km,Car is not damaged,,Left,Yes,Green,R16,Halogen Headlights,Gray,Textile,No,"Air conditioner, heated seats, tinted windows","$11,500"
Chrysler,PT Cruiser,Hatchback,2004,Gasoline,2.4 L,Automatic,Front Wheel Drive,"83,000 km",Car is not damaged,,Left,Yes,Silver,R17,Хenon Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, cruise control, tinted windows","2,700,000 ֏"
Jeep,Compass,SUV / Crossover,2020,Gasoline,2.4 L,Automatic,All Wheel Drive,"26,000 km",Car is not damaged,,Left,Yes,Brown,R18,Halogen Headlights,Black,Leather,No,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$22,500"
Kia,Seltos,SUV / Crossover,2022,Gasoline,1.6 L,Automatic,All Wheel Drive,5700 miles,Car is not damaged,,Left,Yes,White,R17,LED Headlights,Black,Textile,No,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$31,500"
Nissan,Xterra,SUV / Crossover,2002,Gasoline,3.3 L,Automatic,All Wheel Drive,"200,000 km",Car is not damaged,Installed,Left,Yes,Green,R16,Halogen Headlights,Black,Textile,No,Air conditioner,"$8,500"
Lexus,GX,SUV / Crossover,2006,Gasoline,4.7 L,Automatic,All Wheel Drive,"99,000 km",Car is not damaged,Installed,Left,Yes,Black,R17,Хenon Headlights,Beige,Leather,Regular Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$22,500"
Nissan,Altima,Sedan,2019,Gasoline,2.5 L,Automatic,Front Wheel Drive,"80,000 miles",Car is not damaged,,Left,Yes,Silver,R16,Halogen Headlights,Black,Textile,No,"Air conditioner, heated steering wheel, cruise control","$19,000"
Mercedes-Benz,G-Class AMG,SUV / Crossover,2013,Gasoline,5.5 L,Automatic,All Wheel Drive,"115,000 km",Car is not damaged,,Left,Yes,Black,R20,Хenon Headlights,Brown,Leather,Regular Sunroof,,"$75,000"
Kia,Forte,Sedan,2020,Gasoline,2.0 L,Automatic,Front Wheel Drive,"56,000 miles",Car is not damaged,,Left,Yes,Gray,R17,Halogen Headlights,Black,Textile,No,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control","$16,000"
Volkswagen,Jetta,Sedan,2017,Gasoline,1.4 L,Automatic,Front Wheel Drive,"95,000 miles",Car is not damaged,,Left,Yes,White,R16,Хenon Headlights,Black,Leather,Regular Sunroof,"Air conditioner, cruise control","$13,200"
Mercury,Mariner,SUV / Crossover,2008,Gasoline,3.0 L,Automatic,All Wheel Drive,"235,000 km",Car is not damaged,Installed,Left,Yes,Black,R17,Halogen Headlights,Brown,Leather,Regular Sunroof,"Air conditioner, heated seats, cruise control, tinted windows","$6,000"
Mercedes-Benz,A-Class,Hatchback,2006,Gasoline,1.7 L,Manual,Front Wheel Drive,"147,000 km",Car is not damaged,Installed,Left,Yes,Red,R15,Halogen Headlights,Black,Textile,No,"Air conditioner, cruise control, tinted windows","$4,600"
Nissan,Wingroad,Wagon,2004,Gasoline,2.0 L,Automatic,Front Wheel Drive,"328,000 km",Car is not damaged,Installed,Left,Yes,Silver,R16,Хenon Headlights,Gray,Textile,No,,"$3,800"
Kia,Optima,Sedan,2019,Gasoline,2.4 L,Automatic,Front Wheel Drive,"39,000 miles",Car is not damaged,,Left,Yes,White,R16,Хenon Headlights,Black,Textile,No,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$19,800"
Mazda,CX-5,SUV / Crossover,2019,Gasoline,2.5 L,Automatic,Front Wheel Drive,"23,000 miles",Car is not damaged,,Left,Yes,Black,R17,LED Headlights,Black,Alcantara,No,"Air conditioner, heated seats, cruise control, tinted windows","$23,000"
BMW,5 Series,Sedan,2008,Gasoline,2.8 L,Automatic,Rear Wheel Drive,"263,500 km",Car is not damaged,Installed,Left,Yes,Black,R20,Хenon Headlights,Brown,Leather,Regular Sunroof,"Air conditioner, heated seats, cruise control","$10,500"
VAZ (Lada),2107,Sedan,2008,Gasoline,1.6 L,Manual,Rear Wheel Drive,"74,000 km",Car is not damaged,Installed,Left,Yes,White,R13,Хenon Headlights,Black,Textile,No,Tinted windows,"400,000 ֏"
Opel,Astra,Hatchback,2001,Gasoline,1.6 L,Manual,Front Wheel Drive,"300,000 km",Installed,,Left,Yes,Silver,R15,LED Headlights,Black,Leatherette,No,"Air conditioner, heated seats","$6,000"
Toyota,Altezza,Sedan,2000,Gasoline,2.0 L,Automatic,Rear Wheel Drive,"190,000 km",Car is not damaged,Installed,Right,Yes,Blue,R17,LED Headlights,Red,Other,No,"Air conditioner, tinted windows","$7,500"
Mazda,6,Sedan,2018,Gasoline,2.5 L,Automatic,Front Wheel Drive,"59,000 miles",Car is not damaged,,Left,Yes,Gray,R19,LED Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, cruise control, tinted windows","$22,800"
Mercedes-Benz,C-Class,Sedan,1995,Gasoline,1.8 L,Manual,Rear Wheel Drive,"200,000 km",Car is not damaged,Installed,Left,Yes,Silver,R15,Halogen Headlights,Black,Textile,Regular Sunroof,"Heated seats, tinted windows","$5,500"
GAZ (ГАЗ),ГАЗель,Wagon,2002,Gasoline,1.8 L,Manual,Rear Wheel Drive,"160,000 km",Car is not damaged,Installed,Left,Yes,White,R16,Хenon Headlights,Black,Textile,No,Tinted windows,"$3,600"
Opel,Vectra,Sedan,1999,Gasoline,1.8 L,Manual,Front Wheel Drive,"280,000 km",Car is not damaged,Installed,Left,Yes,Black,R15,Halogen Headlights,Black,Textile,No,,"$3,300"
Toyota,RAV4,SUV / Crossover,2020,Gasoline,2.5 L,Automatic,All Wheel Drive,"39,000 miles",Car is not damaged,,Left,Yes,Blue,R17,LED Headlights,Black,Textile,No,"Air conditioner, cruise control, tinted windows","$24,800"
Toyota,Corolla,Sedan,2017,Gasoline,1.8 L,Automatic,Front Wheel Drive,"14,644 miles",Car is not damaged,,Left,Yes,Silver,R17,LED Headlights,Black,Leather,Regular Sunroof,"Air conditioner, cruise control, tinted windows","$18,500"
Opel,Corsa,Hatchback,1996,Gasoline,1.2 L,Manual,Front Wheel Drive,"150,350 km",Car is not damaged,Installed,Left,Yes,Blue,R13,Хenon Headlights,Gray,Textile,Regular Sunroof,Tinted windows,"$2,800"
Bentley,Continental,Sedan,2006,Gasoline,6.0 L,Automatic,All Wheel Drive,"142,000 km",Car is not damaged,,Left,Yes,White,R19,Хenon Headlights,Beige,Leather,Regular Sunroof,"Air conditioner, heated seats, heated steering wheel, cruise control, tinted windows","$28,000"
Honda,Civic,Sedan,2007,Hybrid,1.3 L,Automatic,Front Wheel Drive,"25,000 km",Car is not damaged,Installed,Left,Yes,Blue,R15,LED Headlights,Beige,Textile,No,"Air conditioner, cruise control","1,800,000 ֏"
Mercedes-Benz,C-Class,Sedan,2003,Gasoline,2.4 L,Automatic,Rear Wheel Drive,"278,000 km",Car is not damaged,Installed,Left,Yes,Beige,R16,Halogen Headlights,White,Leather,Regular Sunroof,"Air conditioner, heated seats, ventilated seats, cruise control, tinted windows","$7,000"
Toyota,Camry,Sedan,2016,Gasoline,2.5 L,Automatic,Front Wheel Drive,"124,000 km",Car is not damaged,Installed,Left,No,White,R17,LED Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$24,000"
Nissan,Altima,Sedan,2015,Gasoline,2.5 L,Automatic,Front Wheel Drive,"200,000 km",Car is not damaged,Installed,Left,Yes,Black,R16,LED Headlights,Black,Textile,No,"Air conditioner, heated seats, cruise control, tinted windows","$11,900"
Volkswagen,Jetta,Sedan,2000,Gasoline,2.0 L,Manual,Front Wheel Drive,"14,553 km",Car is not damaged,Installed,Left,Yes,Blue,R16,Halogen Headlights,Beige,Leather,Regular Sunroof,"Air conditioner, heated seats, tinted windows","$3,200"
Toyota,Camry,Sedan,2010,Gasoline,2.5 L,Automatic,Front Wheel Drive,"170,000 km",Car is not damaged,Installed,Left,Yes,Black,R16,Halogen Headlights,Gray,Textile,No,"Air conditioner, cruise control, tinted windows","$11,000"
Infiniti,FX35,Hatchback,2004,Gasoline,3.5 L,Automatic,All Wheel Drive,"190,000 km",Car is not damaged,Installed,Left,Yes,Black,R18,LED Headlights,Beige,Leather,Regular Sunroof,"Air conditioner, heated seats, tinted windows","$10,300"
Nissan,Murano,SUV / Crossover,2022,Gasoline,3.5 L,Automatic,All Wheel Drive,"10,600 km",Car is not damaged,,Left,Yes,Black,R20,LED Headlights,Beige,Leather,Panoramic Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$33,000"
Mercedes-Benz,C-Class,Sedan,2006,Gasoline,2.5 L,Automatic,Rear Wheel Drive,"277,000 km",Car is not damaged,Installed,Left,Yes,Maroon,R17,Halogen Headlights,Beige,Leather,Regular Sunroof,"Air conditioner, cruise control, tinted windows","$6,500"
BMW,X5,SUV / Crossover,2017,Gasoline,3.0 L,Automatic,All Wheel Drive,"60,000 miles",Car is not damaged,,Left,Yes,White,R19,Хenon Headlights,Black,Leather,Panoramic Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$50,000"
VAZ (Lada),2107,Sedan,2010,Gasoline,1.7 L,Manual,Rear Wheel Drive,"95,000 km",Car is not damaged,Installed,Left,Yes,Silver,R14,Хenon Headlights,Other,Leather,No,Tinted windows,"$4,600"
Mercedes-Benz,C-Class,Sedan,2008,Gasoline,3.0 L,Automatic,Rear Wheel Drive,"330,000 km",Car is not damaged,Installed,Left,Yes,White,R17,LED Headlights,Gray,Leather,Regular Sunroof,"Air conditioner, heated seats, cruise control, tinted windows","$12,000"
Nissan,Xterra,SUV / Crossover,2006,Gasoline,4.0 L,Automatic,All Wheel Drive,"210,000 km",Car is not damaged,Installed,Left,Yes,Gray,R20,Хenon Headlights,Black,Alcantara,No,"Air conditioner, ventilated seats, tinted windows","$12,000"
Toyota,Corolla,Sedan,2013,Gasoline,1.8 L,Automatic,Front Wheel Drive,"110,000 miles",Car is not damaged,Installed,Left,Yes,White,R16,LED Headlights,Beige,Textile,No,,"$13,000"
Toyota,Land Cruiser,SUV / Crossover,2013,Gasoline,4.0 L,Automatic,All Wheel Drive,"135,000 km",Car is not damaged,Installed,Left,Yes,Black,R20,Хenon Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, tinted windows","$50,300"
Subaru,Legacy,Sedan,2004,Gasoline,2.0 L,Manual,All Wheel Drive,"290,000 km",Car is not damaged,Installed,Right,Yes,White,R17,Хenon Headlights,Black,Textile,No,Air conditioner,"$6,300"
BMW,3 Series,Sedan,2004,Gasoline,3.0 L,Automatic,Rear Wheel Drive,"230,000 km",Car is not damaged,Installed,Left,Yes,Gray,R17,Halogen Headlights,Black,Leather,Regular Sunroof,"Air conditioner, cruise control, tinted windows","$7,200"
Toyota,Camry,Sedan,2008,Gasoline,1.0 L,Automatic,All Wheel Drive,"900,000 km",Car is not damaged,Installed,Left,Yes,Brown,R14,Хenon Headlights,Red,Alcantara,No,,
BMW,5 Series,Sedan,2020,Gasoline,2.5 L,Automatic,Rear Wheel Drive,"37,000 km",Car is not damaged,,Left,Yes,White,R19,LED Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, ventilated seats, cruise control, tinted windows","$55,000"
Nissan,Teana,Sedan,2004,Gasoline,2.3 L,Automatic,Front Wheel Drive,"190,000 km",Car is not damaged,Installed,Left,Yes,White,R16,Хenon Headlights,Beige,Textile,No,Air conditioner,"$6,500"
