Make,Model,Body Type,Year,Engine Type,Engine Size,Transmission,Drive Type,Mileage,Condition,Gas Equipment,Steering Wheel,Cleared Customs,Color,Wheel Size,Headlights,Interior Color,Interior Material,Sunroof,Comfort,y
Mercedes-Benz,C-Class,Sedan,2016,Gasoline,2.0 L,Automatic,Rear Wheel Drive,"62,000 miles",Car is not damaged,,Left,Yes,Black,R18,LED Headlights,Black,Leather,No,"Air conditioner, cruise control, tinted windows","$27,900"
BMW,X6,SUV / Crossover,2008,Gasoline,4.4 L,Automatic,All Wheel Drive,"123,000 km",Car is not damaged,,Left,Yes,Black,R20,LED Headlights,Other,Leather,No,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$17,000"
Mercedes-Benz,ML,SUV / Crossover,2001,Gasoline,3.2 L,Automatic,All Wheel Drive,"280,000 km",Car is not damaged,Installed,Left,Yes,Gray,R17,Хenon Headlights,Gray,Leather,Regular Sunroof,"Air conditioner, heated seats, tinted windows","$5,500"
Nissan,Teana,Sedan,2004,Gasoline,2.3 L,Automatic,Front Wheel Drive,"187,000 km",Car is not damaged,Installed,Right,Yes,White,R16,LED Headlights,Beige,Alcantara,No,"Air conditioner, cruise control, tinted windows","$5,300"
BYD,Seagull,Hatchback,2023,Electric,Automatic,Front Wheel Drive,50 km,Car is not damaged,Left,,Left,White,R16,LED Headlights,Other,Other,Leather,No,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control","$18,000"
Mercedes-Benz,GLC-Class,SUV / Crossover,2017,Gasoline,2.0 L,Automatic,All Wheel Drive,"60,000 miles",Car is not damaged,,Left,Yes,Black,R18,LED Headlights,Black,Leather,No,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$38,000"
Mazda,3,Sedan,2016,Gasoline,2.0 L,Automatic,Front Wheel Drive,"220,000 km",Car is not damaged,,Left,Yes,Silver,R18,Halogen Headlights,Black,Leather,No,"Air conditioner, heated seats, cruise control","$12,500"
Hyundai,Solaris,Sedan,2019,Gasoline,1.6 L,Automatic,Front Wheel Drive,"74,000 km",Car is not damaged,,Left,Yes,White,R16,Halogen Headlights,Gray,Textile,No,"Air conditioner, heated seats, tinted windows","$12,800"
Mercedes-Benz,E-Class,Sedan,2017,Gasoline,3.0 L,Automatic,Rear Wheel Drive,"86,000 km",Car is not damaged,,Left,Yes,Black,R18,Хenon Headlights,Beige,Leather,Regular Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control","$48,000"
Ford,Transit,Van,2013,Diesel,2.2 L,Manual,Rear Wheel Drive,"97,000 km",Car is not damaged,,Left,No,White,R16,Halogen Headlights,Gray,Textile,No,Air conditioner,"$11,700"
Suzuki,SX4,Hatchback,2014,Gasoline,1.6 L,Automatic,Front Wheel Drive,"38,000 km",Car is not damaged,,Left,Yes,Red,R14,Halogen Headlights,Black,Textile,No,"Air conditioner, heated seats, cruise control","$13,700"
VAZ (Lada),2110,Sedan,2005,Gasoline,1.6 L,Manual,Front Wheel Drive,"120,000 km",Car is not damaged,Installed,Left,Yes,Silver,R14,Halogen Headlights,Gray,Textile,No,,"$3,000"
Lexus,RX,SUV / Crossover,2013,Gasoline,3.5 L,Automatic,Front Wheel Drive,"104,000 miles",Car is not damaged,,Left,Yes,Black,R19,Хenon Headlights,Beige,Leather,Regular Sunroof,"Air conditioner, heated seats, ventilated seats, cruise control, tinted windows","$26,000"
Chevrolet,Camaro,Coupe,2018,Gasoline,3.6 L,Automatic,Rear Wheel Drive,"26,150 km",Car is not damaged,,Left,Yes,Gray,R19,LED Headlights,Black,Textile,No,"Air conditioner, cruise control, tinted windows","$29,000"
Jeep,Grand Cherokee,SUV / Crossover,2000,Gasoline,4.7 L,Automatic,All Wheel Drive,"200,000 km",Car is not damaged,Installed,Left,Yes,Black,R16,Halogen Headlights,Brown,Leather,Regular Sunroof,Heated seats,"$6,000"
Opel,Vectra,Sedan,1998,Gasoline,1.6 L,Manual,Front Wheel Drive,"380,000 km",Car is not damaged,Installed,Left,Yes,Silver,R14,Halogen Headlights,Black,Textile,No,Air conditioner,"750,000 ֏"
Ford,Focus,Sedan,2015,Gasoline,2.0 L,Automatic,Front Wheel Drive,"110,000 km",Car is not damaged,,Left,Yes,Silver,R16,Хenon Headlights,Black,Leather,No,"Air conditioner, heated seats, ventilated seats, cruise control, tinted windows","$8,900"
Toyota,C-HR EV,SUV / Crossover,2021,Electric,Automatic,Front Wheel Drive,3000 km,Car is not damaged,Left,,Left,White,R16,LED Headlights,Black,Black,Textile,No,,"10,000,000 ֏"
Nissan,Teana,Sedan,2013,Gasoline,2.5 L,Automatic,All Wheel Drive,"177,000 km",Car is not damaged,Installed,Left,Yes,Black,R17,Halogen Headlights,Black,Leather,No,"Air conditioner, heated seats, ventilated seats, tinted windows","$14,000"
Kia,Optima,Sedan,2011,Gasoline,2.0 L,Automatic,Front Wheel Drive,"130,500 km",Car is not damaged,Installed,Left,Yes,White,R17,LED Headlights,Black,Leatherette,No,"Air conditioner, cruise control, tinted windows","$10,800"
Nissan,Teana,Sedan,2004,Gasoline,2.3 L,Automatic,Front Wheel Drive,"250,000 km",Car is not damaged,Installed,Right,Yes,Black,R16,Halogen Headlights,Other,Alcantara,No,,"$5,100"
Ford,Fusion (North America),Sedan,2020,Gasoline,2.0 L,Automatic,All Wheel Drive,"55,000 km",Car is not damaged,,Left,Yes,Gray,R18,Halogen Headlights,Black,Textile,No,"Air conditioner, heated seats, cruise control","$14,500"
Mercedes-Benz,ML,SUV / Crossover,2006,Gasoline,3.5 L,Automatic,All Wheel Drive,"230,000 km",Car is not damaged,Installed,Left,Yes,Black,R18,LED Headlights,Black,Alcantara,No,Cruise control,"$13,200"
Chevrolet,Bolt,Hatchback,2019,Electric,Automatic,Front Wheel Drive,"80,700 km",Car is not damaged,Left,,Left,Gray,R17,LED Headlights,Gray,Gray,Textile,No,"Air conditioner, cruise control, tinted windows","$17,900"
Kia,Forte,Sedan,2019,Gasoline,2.0 L,Automatic,Front Wheel Drive,"57,000 miles",Car is not damaged,,Left,Yes,White,R15,Хenon Headlights,Black,Textile,No,"Air conditioner, heated seats, heated steering wheel, cruise control","$17,000"
Mercedes-Benz,S-Class,Sedan,2010,Gasoline,3.5 L,Automatic,Rear Wheel Drive,"210,000 km",Car is not damaged,,Left,Yes,Black,R19,Хenon Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, ventilated seats, cruise control, tinted windows","$21,900"
UAZ (УАЗ),Hunter,SUV / Crossover,2003,Gasoline,2.7 L,Manual,All Wheel Drive,"88,000 km",Car is not damaged,Installed,Left,Yes,Green,R16,Хenon Headlights,Black,Textile,No,Tinted windows,"$5,000"
Mercedes-Benz,500,Sedan,1994,Gasoline,5.0 L,Automatic,Rear Wheel Drive,"200,000 km",Car is not damaged,,Left,Yes,Black,R17,LED Headlights,Black,Leather,Regular Sunroof,,"3,000,000 ֏"
Volkswagen,Touareg,SUV / Crossover,2007,Gasoline,3.6 L,Automatic,All Wheel Drive,"255,000 km",Car is not damaged,Installed,Left,Yes,Silver,R18,Хenon Headlights,Black,Leather,Regular Sunroof,,"$9,000"
Mercedes-Benz,E-Class,Sedan,1991,Gasoline,2.3 L,Manual,Rear Wheel Drive,"300,000 km",Car is not damaged,Installed,Left,Yes,Brown,R15,Хenon Headlights,Brown,Textile,Regular Sunroof,Tinted windows,"$5,000"
Kia,K5,Sedan,2022,Gasoline,1.6 L,Automatic,Front Wheel Drive,"11,250 miles",Car is not damaged,,Left,Yes,Red,R18,LED Headlights,Black,Leather,No,"Air conditioner, heated seats, heated steering wheel, cruise control, tinted windows","$31,000"
Ford,Transit,Van,1999,Diesel,2.5 L,Manual,Rear Wheel Drive,"217,000 km",Car is not damaged,,Left,Yes,White,R15,Halogen Headlights,White,Other,No,,"$5,000"
Toyota,Camry,Sedan,2012,Gasoline,2.5 L,Automatic,Front Wheel Drive,"169,000 miles",Car is not damaged,Installed,Left,Yes,Black,R17,LED Headlights,Gray,Textile,No,"Air conditioner, cruise control, tinted windows","$12,900"
Opel,Zafira,Minivan,2004,Gasoline,2.2 L,Manual,Front Wheel Drive,"265,728 km",Car is not damaged,Installed,Left,Yes,Gray,R15,LED Headlights,Black,Other,No,,"$6,000"
Kia,Optima,Sedan,2017,Gasoline,2.4 L,Automatic,Front Wheel Drive,11 miles,Car is not damaged,,Left,Yes,White,R17,Halogen Headlights,Beige,Textile,No,"Air conditioner, cruise control","$14,000"
VAZ (Lada),2112,Hatchback,2006,Gasoline,1.6 L,Manual,Front Wheel Drive,"146,000 km",Car is not damaged,Installed,Left,Yes,Silver,R14,Halogen Headlights,Gray,Textile,No,Heated seats,"800,000 ֏"
Toyota,Land Cruiser,SUV / Crossover,2010,Gasoline,4.7 L,Automatic,All Wheel Drive,"194,000 km",Car is not damaged,Installed,Left,Yes,Black,R18,LED Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, cruise control, tinted windows","$45,300"
Lexus,GX460,SUV / Crossover,2020,Gasoline,4.6 L,Automatic,All Wheel Drive,"19,000 miles",Car is not damaged,,Left,Yes,White,R19,LED Headlights,Black,Leather,Panoramic Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$85,000"
Toyota,RAV4,SUV / Crossover,2019,Gasoline,2.5 L,Automatic,All Wheel Drive,"95,000 km",Car is not damaged,,Left,Yes,Cyan,R19,LED Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, cruise control, tinted windows","$34,000"
VAZ (Lada),2107,Sedan,2003,Gasoline,1.5 L,Manual,Rear Wheel Drive,"166,000 km",Car is not damaged,Installed,Left,No,White,R13,Halogen Headlights,Black,Textile,No,Tinted windows,"$1,900"
VAZ (Lada),2115,Sedan,2008,Gasoline,1.6 L,Manual,Front Wheel Drive,"360,753 km",Car is not damaged,Installed,Left,Yes,Black,R14,Halogen Headlights,Gray,Other,No,,"$2,900"
VAZ (Lada),2107,Sedan,2006,Gasoline,1.7 L,Manual,Rear Wheel Drive,"120,000 km",Car is not damaged,Installed,Left,Yes,White,R14,LED Headlights,Gray,Textile,No,,"$3,900"
VAZ (Lada),2107,Sedan,2010,Gasoline,1.7 L,Manual,Rear Wheel Drive,"105,000 km",Car is not damaged,,Left,Yes,White,R14,Halogen Headlights,Gray,Textile,No,,"$2,700"
Ford,Transit,Minibus,2000,Diesel,2.0 L,Manual,Front Wheel Drive,"250,000 km",Car is not damaged,,Left,Yes,White,R15,LED Headlights,White,Leather,No,Air conditioner,
Ford,Transit,Van,2001,Diesel,2.4 L,Manual,Rear Wheel Drive,"250,000 km",Car is not damaged,,Left,Yes,White,R16,LED Headlights,Black,Textile,No,,"$9,000"
MINI,Cooper,Hatchback,2009,Gasoline,1.6 L,Manual,Front Wheel Drive,"199,999 km",Car is not damaged,,Left,Yes,Cyan,R15,Halogen Headlights,Black,Leather,Panoramic Sunroof,,"$7,800"
Toyota,Mark II,Sedan,2001,Gasoline,2.0 L,Automatic,Rear Wheel Drive,"300,000 km",Car is not damaged,Installed,Right,Yes,White,R15,Хenon Headlights,Beige,Other,No,"Air conditioner, tinted windows","$7,200"
Chevrolet,Cruze,Sedan,2018,Gasoline,1.4 L,Automatic,Front Wheel Drive,"66,000 km",Car is not damaged,,Left,Yes,Black,R16,LED Headlights,Black,Textile,No,"Air conditioner, heated seats, cruise control, tinted windows","$11,300"
Lexus,GX460,SUV / Crossover,2023,Gasoline,4.6 L,Automatic,All Wheel Drive,"72,000 km",Car is not damaged,,Left,Yes,Black,R18,Хenon Headlights,Black,Leather,Regular Sunroof,"Air conditioner, heated seats, heated steering wheel, ventilated seats, cruise control, tinted windows","$48,000"
Kia,Sorento,SUV / Crossover,2008,Gasoline,3.3 L,Automatic,All Wheel Drive,"200,000 km",Car is not damaged,Installed,Left,Yes,Blue,R17,LED Headlights,Beige,Leather,No,"Air conditioner, heated seats, ventilated seats, cruise control, tinted windows","$9,900"
Opel,Zafira,Minivan,2000,Gasoline,1.8 L,Manual,Front Wheel Drive,"300,000 km",Car is not damaged,Installed,Left,Yes,Green,R15,Halogen Headlights,Other,Textile,No,"Air conditioner, tinted windows","$5,300"
Mercedes-Benz,W124,Sedan,1995,Gasoline,2.2 L,Manual,Rear Wheel Drive,"350,000 km",Car is not damaged,Installed,Left,Yes,Gray,R16,LED Headlights,Black,Textile,Regular Sunroof,,"$3,500"
